id_assignment,userId,courseId,learningPathId,assignedAt,id_user,name,email,role,createdAt,updatedAt
29,4,1506,-1,2021-07-17 14:09:32.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
30,4,3193,-1,2024-01-29 17:54:32.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
31,4,145,-1,2020-11-30 05:08:10.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
32,4,3051,-1,2024-06-09 09:03:49.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
33,4,2692,-1,2021-10-01 03:34:40.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
34,4,912,-1,2022-06-20 04:19:27.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
35,4,3080,-1,2020-06-25 00:44:57.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
36,4,499,-1,2023-10-07 06:47:32.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
37,4,1140,-1,2023-09-26 09:12:12.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
38,4,628,-1,2020-09-07 04:20:09.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
39,4,1706,-1,2022-09-14 21:58:08.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
40,5,2923,-1,2023-02-12 13:44:26.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
41,5,813,-1,2023-03-10 23:11:35.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
42,5,2980,-1,2023-04-29 17:20:51.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
43,5,2184,-1,2021-04-30 12:32:46.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
44,5,3447,-1,2021-03-16 14:18:07.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
45,5,296,-1,2024-05-14 15:31:46.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
46,5,936,-1,2021-11-28 16:39:30.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
47,5,441,-1,2023-07-03 02:15:19.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
48,5,3415,-1,2023-05-18 04:33:36.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
49,5,1738,-1,2021-02-15 13:27:03.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
50,5,348,-1,2024-06-05 16:43:17.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
51,5,3374,-1,2023-05-14 09:51:04.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
52,5,3122,-1,2023-10-30 08:46:49.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
53,5,374,-1,2024-05-21 17:54:15.000,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
54,6,1083,-1,2020-05-11 13:02:06.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
55,6,933,-1,2021-06-02 12:58:19.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
56,6,1904,-1,2024-05-04 22:52:55.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
57,6,1192,-1,2022-11-19 23:23:59.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
58,6,2767,-1,2021-12-31 13:30:24.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
59,6,139,-1,2022-12-28 23:03:57.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
60,6,2047,-1,2023-10-14 23:56:33.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
61,6,2319,-1,2020-12-26 20:41:15.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
62,6,3290,-1,2020-06-15 07:53:30.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
63,6,3304,-1,2024-06-15 03:25:53.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
64,6,993,-1,2021-09-28 20:24:35.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
65,6,316,-1,2022-10-12 14:42:45.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
66,6,2315,-1,2021-11-08 17:27:49.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
67,6,974,-1,2021-12-14 01:58:01.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
68,6,994,-1,2022-01-18 03:53:30.000,6,David Lee,ashley72@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
69,7,2840,-1,2021-11-28 14:15:01.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
70,7,2832,-1,2023-05-29 23:38:51.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
71,7,1887,-1,2023-10-06 11:33:30.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
72,7,1250,-1,2023-08-22 06:27:14.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
73,7,3406,-1,2020-07-23 22:32:31.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
74,7,1571,-1,2023-12-16 20:51:09.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
75,7,866,-1,2023-10-26 07:32:57.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
76,7,1802,-1,2020-06-19 12:58:22.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
77,7,449,-1,2020-04-30 19:14:20.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
78,7,224,-1,2020-04-12 03:56:58.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
79,7,1995,-1,2022-06-03 18:30:13.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
80,7,887,-1,2021-11-22 08:19:46.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
81,7,2703,-1,2021-11-07 00:43:39.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
82,7,1708,-1,2023-12-19 17:36:35.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
83,7,2305,-1,2022-11-21 21:44:51.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
84,7,3349,-1,2020-06-27 11:11:01.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
85,7,1277,-1,2022-03-09 06:01:34.000,7,Samuel Velazquez,xsalazar@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
86,8,281,-1,2021-12-21 18:08:52.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
87,8,3071,-1,2021-07-21 16:01:04.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
88,8,1429,-1,2020-01-06 21:50:08.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
89,8,14,-1,2023-03-21 18:24:46.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
90,8,44,-1,2020-02-02 15:22:31.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
91,8,1354,-1,2022-04-04 19:16:24.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
92,8,1722,-1,2022-12-07 13:52:04.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
93,8,300,-1,2023-05-21 00:51:46.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
94,8,1371,-1,2022-06-13 01:51:41.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
95,8,347,-1,2024-06-13 07:41:53.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
96,8,1084,-1,2023-04-06 22:31:33.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
97,8,1243,-1,2020-07-17 22:05:03.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
98,8,3648,-1,2020-02-22 09:54:50.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
99,8,624,-1,2024-03-28 22:11:20.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
100,8,501,-1,2021-03-25 18:39:08.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
101,8,162,-1,2021-05-26 04:21:14.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
102,8,876,-1,2020-02-26 03:50:01.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
103,8,1651,-1,2021-08-08 23:04:20.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
104,8,1285,-1,2021-04-28 05:35:43.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
105,8,1541,-1,2024-05-29 00:46:46.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
106,8,3212,-1,2021-12-21 05:47:14.000,8,Angela Henderson,wwarner@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
107,9,139,-1,2023-02-26 00:01:22.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
108,9,3201,-1,2022-10-15 11:15:43.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
109,9,824,-1,2021-02-01 07:06:15.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
110,9,1609,-1,2022-12-04 16:55:01.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
111,9,514,-1,2022-08-09 15:45:54.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
112,9,561,-1,2020-12-07 08:29:08.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
113,9,709,-1,2020-05-06 05:15:21.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
114,9,3634,-1,2022-03-27 09:17:29.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
115,9,1971,-1,2023-04-18 21:47:42.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
116,9,1858,-1,2022-11-29 18:26:30.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
117,9,1310,-1,2024-02-16 17:19:00.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
118,9,2680,-1,2022-05-10 18:57:08.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
119,9,716,-1,2023-11-16 05:39:51.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
120,9,2261,-1,2023-11-01 07:38:29.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
121,9,1835,-1,2022-04-08 22:58:34.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
122,9,3504,-1,2022-11-22 18:50:34.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
123,9,2486,-1,2024-05-16 05:43:25.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
124,9,2233,-1,2023-03-13 09:47:52.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
125,9,613,-1,2022-01-05 20:30:24.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
126,9,2879,-1,2021-03-22 09:24:34.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
127,9,2996,-1,2021-11-18 19:40:43.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
128,9,352,-1,2023-05-12 21:56:12.000,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
129,10,2592,-1,2023-01-14 00:01:52.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
130,10,3101,-1,2023-12-08 16:19:19.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
131,10,732,-1,2024-03-02 20:47:45.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
132,10,3438,-1,2021-06-03 16:58:51.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
133,10,127,-1,2024-08-29 16:16:38.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
134,10,722,-1,2024-05-27 22:58:54.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
135,10,2309,-1,2023-06-30 09:56:22.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
136,10,1418,-1,2020-01-20 09:08:08.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
137,10,2739,-1,2020-03-04 01:42:38.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
138,10,534,-1,2022-04-19 04:14:05.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
139,10,3516,-1,2022-11-29 15:25:08.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
140,10,3338,-1,2020-12-24 09:08:02.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
141,10,3105,-1,2023-08-19 14:53:15.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
142,10,2989,-1,2024-05-19 20:31:03.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
143,10,1611,-1,2022-12-29 22:45:10.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
144,10,3107,-1,2024-07-06 12:58:18.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
145,10,2238,-1,2023-01-29 10:50:42.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
146,10,41,-1,2023-07-20 22:25:49.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
147,10,1770,-1,2022-12-08 02:02:05.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
148,10,2212,-1,2020-04-22 21:35:30.000,10,Travis Johnson,ijoyce@example.net,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
149,11,50,-1,2020-09-13 03:28:46.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
150,11,2040,-1,2021-11-06 11:53:07.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
151,11,506,-1,2021-03-05 01:47:51.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
152,11,1279,-1,2023-06-05 05:55:17.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
153,11,209,-1,2023-11-26 14:06:00.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
154,11,1982,-1,2023-01-03 02:45:27.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
155,11,126,-1,2022-12-12 22:10:48.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
156,11,3473,-1,2022-04-17 08:26:11.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
157,11,357,-1,2021-05-26 10:11:21.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
158,11,3192,-1,2024-04-15 02:21:14.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
159,11,3145,-1,2020-01-23 07:35:21.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
160,11,458,-1,2022-08-23 10:27:22.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
161,11,1487,-1,2024-07-29 19:39:02.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
162,11,2411,-1,2021-08-08 07:47:13.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
163,11,2016,-1,2021-07-28 00:02:26.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
164,11,1339,-1,2024-08-21 12:23:53.000,11,Tracey Hill,freemantina@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
